iD,country,tourists,years
1,Αυστρία,236416,2012
2,Βέλγιο,326936,2012
3,Βουλγαρία,599110,2012
4,Γαλλία,977376,2012
5,Γερμανία,2108787,2012
6,Δανία,205193,2012
7,Εσθονία,4756,2012
8,"Ην. Βασίλειο",1920793,2012
9,Ιρλανδία,32357,2012
10,Ισπανία,155721,2012
11,Ιταλία,848072,2012
12,Κύπρος,424826,2012
13,Λεττονία,15299,2012
14,Λιθουανία,21600,2012
15,Λουξεμβούργο,15191,2012
16,Μάλτα,2206,2012
17,Ολλανδία,478483,2012
18,Ουγγαρία,69788,2012
19,Πολωνία,254682,2012
20,Πορτογαλία,20483,2012
21,Ρουμανία,230395,2012
22,Σλοβακία,44782,2012
23,Σλοβενία,35721,2012
24,Σουηδία,319755,2012
25,Τσεχία,289034,2012
26,Φινλανδία,154133,2012
27,Αλβανία,469212,2012
28,Ελβετία,299619,2012
29,Νορβηγία,294113,2012
30,Ισλανδία,2059,2012
31,Ρωσία,874786,2012
32,"Σερβία - Μαυροβούνιο",620450,2012
33,"Λοιπά Κράτη Ευρώπης",1498912,2012
34,NULL,937050,2012
35,Ιαπωνία,8840,2012
36,Ιράν,13631,2012
37,Ισραήλ,207710,2012
38,Κίνα,12202,2012
39,"Λίβανος - Συρία",12846,2012
40,"Ν. Κορέα",6100,2012
41,Τουρκία,602305,2012
42,"Λοιπά κράτη Μ. Ανατολής",18061,2012
43,"Λοιπά κράτη Ασίας",55350,2012
44,NULL,37410,2012
45,"Αίγυπτος - Σουδάν",4723,2012
46,"Νοτιοαφρικανική Ενωση",19685,2012
47,"Λοιπά κράτη Αφρικής",13001,2012
48,NULL,558728,2012
49,Αργεντινή,20206,2012
50,Βραζιλία,31124,2012
51,Μεξικό,8067,2012
52,Η.Π.Α.,373830,2012
53,Καναδάς,102693,2012
54,"Λοιπά κράτη Αμερικής",22804,2012
55,NULL,133368,2012
56,Αυστραλία,117852,2012
57,"Λοιπά κράτη Ωκεανίας",15515,2012
58,"Μη προσδιορίσιμες χώρες ταξιδιωτών",0,2012
